id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49515475,POLANCO AT ITS ABSOLUTE BEST!  AMAZING LOCATION,7174720,Rita,,Miguel Hidalgo,19.43113,-99.19607,Entire home/apt,4384,3,49,2022-11-29,2.69,9,355,35,
49692617,"ESTUDIO, COL ROMA NORTE ☆ CASA ROMITA 103",178040429,Casa,,Cuauhtémoc,19.42305,-99.16813,Private room,1100,1,47,2022-10-30,2.36,13,363,4,
49518738,Modern building at Historic Center with pool,286161576,Leonardo Felipe,,Cuauhtémoc,19.434219,-99.14566,Entire home/apt,1239,2,0,,,1,304,0,
49693050,"Tu departamento en Polanco, 1R full las amenities!",400807216,Ana,,Miguel Hidalgo,19.43898,-99.18378,Entire home/apt,2695,2,2,2022-03-03,0.19,1,346,2,
49345226,La Palomilla B&B Full House,398037517,La Palomilla,,Cuauhtémoc,19.417818,-99.172546,Entire home/apt,23020,2,9,2022-11-26,0.46,1,277,3,
49346479,"Departamento cómodo y  privado, cerca del metro.",205778109,Esperanza,,Iztapalapa,19.34909,-99.06169,Entire home/apt,350,1,34,2022-12-18,1.70,1,351,24,
49518952,Huge Apt in Roma / Condesa With Lots of Light,4362310,Aarón,,Cuauhtémoc,19.408407,-99.167488,Entire home/apt,970,10,0,,,27,332,0,
49348221,118 Cozy & Beautiful Room/Amazing Location,66387078,Iker,,Cuauhtémoc,19.43029,-99.16479,Private room,333,1,77,2022-12-15,3.80,29,85,45,
49519196,BEST location EVER: Roma / Reforma!! !!,4362310,Aarón,,Cuauhtémoc,19.422304,-99.172363,Entire home/apt,854,1,0,,,27,243,0,
49348460,Loft cerca del aeropuerto,393706754,Fernando,,Venustiano Carranza,19.41978,-99.08953,Entire home/apt,550,2,58,2022-12-12,3.07,5,156,31,
49519613,Panorámico en Condesa .,394071613,Ruddy,,Cuauhtémoc,19.40827,-99.17485,Entire home/apt,1464,3,9,2022-12-12,0.45,1,140,8,
49349785,Home Condechi,388976380,Myrna,,Cuauhtémoc,19.40908,-99.17158,Entire home/apt,2550,2,8,2022-10-26,0.58,2,308,3,
49363709,WTC NEW Private180 m2 strategic loc 24h securty,398165069,Henbros,,Benito Juárez,19.386791,-99.169121,Entire home/apt,2050,1,28,2022-12-28,1.37,9,31,16,
49520474,"Suites San Ángel.  ""Mérida"", 10.",136597640,Javier,,Álvaro Obregón,19.33656,-99.20139,Entire home/apt,690,1,28,2022-10-30,1.40,8,365,12,
49364842,Estancia chilanga en el barrio de Mixcoac,286414559,Johanna,,Benito Juárez,19.37909,-99.18514,Private room,280,5,14,2022-12-24,0.74,2,352,10,
49364919,The forest corner (Polanco),37266397,Alonso,,Miguel Hidalgo,19.42985,-99.18242,Entire home/apt,980,3,65,2022-12-15,3.18,4,354,41,
49694495,LINDA HABITACIÓN ILUMINADA. EXCELENTE UBICACIÓN,399941319,Maricela,,Coyoacán,19.339594,-99.188995,Private room,260,1,1,2022-01-03,0.08,2,87,1,
49520971,Amazing apartment in Polanco- 1 block away from Lincoln Park,118192059,Evb,,Miguel Hidalgo,19.42911,-99.19357,Entire home/apt,5081,2,0,,,1,1,0,
49694573,(Loft) Con Hermosa vista a TORRE LATINO.,400820013,Giovanny,,Cuauhtémoc,19.43644,-99.13968,Entire home/apt,800,1,70,2022-12-21,3.66,1,340,39,
49707972,New High-End Luxury Balconied Room /B&B in Condesa,352959504,Meraki,,Cuauhtémoc,19.41107,-99.17598,Private room,6629,2,1,2021-07-03,0.05,4,302,0,
49366934,Magnífica Habitación en Polanco,24337471,Maria Jose,,Miguel Hidalgo,19.43969,-99.18511,Private room,485,2,7,2022-01-02,0.37,4,182,1,
49367806,Hermosa habitación cerca del WTC de la CDMX,398202528,Mauricio,,Benito Juárez,19.39259,-99.17282,Private room,963,1,197,2022-12-22,9.97,6,349,138,
49533624,Acogedora e Iluminada Habitacion Privada.,160342757,Alexis,,Benito Juárez,19.36219,-99.14942,Private room,295,1,12,2022-01-11,0.69,1,75,2,
49709952,New High-End Cozy & Trendy Room/B&B in Condesa,352959504,Meraki,,Cuauhtémoc,19.40968,-99.17548,Private room,6200,2,8,2022-07-30,0.49,4,306,5,
49534841,Beautiful full apartament in central area,104795403,David,,Benito Juárez,19.40195,-99.15347,Entire home/apt,750,1,34,2022-11-27,1.68,2,62,14,
49713023,ET_1308 loft Nuevo Polanco,206970565,Inmobiliaria ZAGO,,Miguel Hidalgo,19.44193,-99.18441,Entire home/apt,1400,3,40,2022-12-22,2.23,9,348,20,
49713129,"LA MARTINA.Legendary Apartment in ""LA ROMA""",65491640,Israel,,Cuauhtémoc,19.42074,-99.1618,Entire home/apt,1024,2,3,2022-11-21,1.45,3,350,3,
